"entite_adm","code_ins","revenu_moyen_decla","revenu_median_decla"
"Damme",31006,57098,48207
"Jabbeke",31012,61601,52507
"Oostkamp",31022,58309,50455
"Torhout",31033,54046,47958
"Zedelgem",31040,57725,50170
"Zuienkerke",31042,57376,49697
"Knokke-Heist",31043,67441,44252
"Arrondissement de Dixmude",32000,49514,44613
"Dixmude",32003,49348,44285
"Houthulst",32006,48895,45213
"Koekelare",32010,49176,44884
"Kortemark",32011,50035,44407
"Lo-Reninge",32030,51045,44626
"Arrondissement d’Ypres",33000,50052,44200
"Ypres",33011,51951,45473
"Messines",33016,41695,38504
"Poperinge",33021,48761,44010
"Wervik",33029,49224,43170
"Zonnebeke",33037,51403,46005
"Heuvelland",33039,46295,40790
"Langemark-Poelkapelle",33040,51240,44797
"Vleteren",33041,45916,42063
"Arrondissement de Courtrai",34000,54797,46861
"Anzegem",34002,57524,49489
"Avelgem",34003,53009,46751
"Deerlijk",34009,55306,49354
"Harelbeke",34013,51786,45393
"Courtrai",34022,57606,47230
"Kuurne",34023,52640,46739
"Lendelede",34025,54075,47706
"Menin",34027,49227,42465
"Waregem",34040,55708,47260
"Wevelgem",34041,53665,47924
"Zwevegem",34042,57195,48979
"Espierres-Helchin",34043,55607,44260
"Arrondissement d’Ostende",35000,50666,43293
"Bredene",35002,52485,46263
"Gistel",35005,54484,48129
"Ichtegem",35006,49950,44662
"Middelkerke",35011,47587,40628
"Ostende",35013,49620,41586
"Oudenburg",35014,51618,45695
"De Haan",35029,53983,43871
"Arrondissement de Roulers",36000,53366,46845
"Hooglede",36006,55600,49290
"Ingelmunster",36007,51785,46056
"Izegem",36008,53480,46685
"Ledegem",36010,51721,47018
"Lichtervelde",36011,52131,47771
"Moorslede",36012,52134,45623
"Roulers",36015,54496,47059
"Staden",36019,50500,45039
"Arrondissement de Tielt",37000,52742,46182
"Dentergem",37002,54497,48041
"Meulebeke",37007,50601,45078
"Oostrozebeke",37010,51656,45799
"Pittem",37011,50095,45372
"Ruiselede",37012,55250,46624
"Tielt (Tielt)",37015,53619,45683
"Wielsbeke",37017,53293,47572
"Wingene",37018,52805,46955
"Ardooie",37020,52585,45205
"Arrondissement de Furnes",38000,56023,43918
"Alveringem",38002,48586,44222
"La Panne",38008,51798,42064
"Koksijde",38014,64785,46013
"Nieuport",38016,50008,40861
"Furnes",38025,50693,44777
"Province de Flandre orientale",40000,58488,48751
"Arrondissement d’Alost",41000,58214,49121
"Alost (Alost)",41002,57550,47544
"Denderleeuw",41011,56953,48544
"Grammont",41018,55397,47425
"Haaltert",41024,60034,51288
"Herzele",41027,59588,51067
"Lede",41034,59763,50367
"Ninove",41048,55732,47255
"Sint-Lievens-Houtem",41063,61139,52522
"Zottegem",41081,61194,52662
"Erpe-Mere",41082,60992,51392
"Arrondissement de Termonde",42000,57172,48316
"Berlare",42003,56687,48621
"Buggenhout",42004,60696,52318
"Termonde",42006,56587,48094
"Hamme (Termonde)",42008,53847,45694
"Laarne",42010,62614,51539
"Lebbeke",42011,57129,49026
"Waasmunster",42023,65845,51568
"Wetteren",42025,56239,47876
"Wichelen",42026,60433,52119
"Zele",42028,51364,43485
"Arrondissement d’Eeklo",43000,53482,45936
"Assenede",43002,55904,49026
"Eeklo",43005,51951,43920
"Kaprijke",43007,58453,48443
"Maldegem",43010,52669,45400
"Sint-Laureins",43014,55455,47238
"Zelzate",43018,50565,44049
"Arrondissement de Gand",44000,61177,50313
"De Pinte",44012,78931,64575
